timestamp,id,group,total_days,completed
2015-08-10 17:06:01.032740,610019,experiment,97,True
2015-08-10 17:15:28.950975,690224,control,75,False
2015-08-10 17:34:40.920384,564994,experiment,128,True
2015-08-10 17:50:39.847374,849588,experiment,66,False
2015-08-10 19:10:40.650599,849826,experiment,34,False
2015-08-10 19:58:07.004051,763661,control,55,False
2015-08-10 20:10:42.230941,634832,control,97,False
2015-08-10 20:29:33.099757,849686,control,97,False
2015-08-10 21:03:33.719529,929620,experiment,90,False
2015-08-10 22:47:00.254898,512761,experiment,59,False
2015-08-11 00:45:37.012714,286646,control,50,False
2015-08-11 01:00:51.141268,620254,experiment,100,True
2015-08-11 01:41:45.455115,484532,experiment,69,False
2015-08-11 02:17:19.062270,872301,control,80,True
2015-08-11 05:51:23.639469,450281,control,75,True
2015-08-11 06:07:09.889447,471274,experiment,59,False
2015-08-11 06:50:43.785480,248426,control,40,False
2015-08-11 08:03:48.803381,541503,experiment,61,False
2015-08-11 08:04:31.148648,382430,control,76,False
2015-08-11 09:11:17.442981,588165,control,102,True
2015-08-11 09:33:00.732338,904590,control,87,False
2015-08-11 09:36:34.424934,278205,experiment,35,False
2015-08-11 10:14:44.257665,892752,control,67,True
2015-08-11 11:40:46.702276,615847,control,81,False
2015-08-11 11:56:53.759829,310859,experiment,94,False
2015-08-11 13:10:05.329667,834959,control,26,False
2015-08-11 13:34:51.438522,458527,experiment,45,False
2015-08-11 15:56:14.996717,526527,experiment,113,True
2015-08-11 17:25:18.907427,545500,experiment,107,True
2015-08-11 19:22:43.231548,614012,control,94,True
2015-08-11 19:29:43.439209,283452,experiment,63,False
2015-08-11 19:57:50.996437,707627,control,69,False
2015-08-11 20:15:33.363024,857486,control,73,False
2015-08-11 20:27:40.363932,305859,experiment,102,True
2015-08-11 22:10:02.419295,526959,control,63,False
2015-08-11 22:22:00.121595,227373,control,63,False
2015-08-11 23:53:28.209195,362751,experiment,66,False
2015-08-12 01:38:07.780303,754629,experiment,53,False
2015-08-12 01:52:37.348946,475477,experiment,69,False
2015-08-12 02:30:17.553033,234023,experiment,69,False
2015-08-12 04:31:19.775884,724000,control,117,True
2015-08-12 05:23:21.483294,440384,experiment,115,True
2015-08-12 05:32:08.881974,781332,control,78,True
2015-08-12 06:21:35.411893,479826,experiment,88,True
2015-08-12 06:35:50.090805,701507,experiment,69,False
2015-08-12 06:51:54.078349,327688,experiment,59,False
2015-08-12 08:10:15.715966,463736,experiment,95,True
2015-08-12 10:46:46.484774,374296,experiment,88,True
2015-08-12 12:23:20.157311,712991,experiment,70,False
2015-08-12 13:44:54.089169,659386,experiment,79,True
2015-08-12 15:15:28.753130,393335,experiment,65,True
2015-08-12 18:44:31.996836,743690,experiment,64,False
2015-08-12 19:09:15.331947,443637,experiment,56,False
2015-08-12 19:55:59.661179,743662,control,84,False
2015-08-12 20:52:21.418610,556546,control,82,True
2015-08-12 22:28:05.872128,311862,control,45,False
2015-08-12 23:00:20.755736,874269,experiment,94,True
2015-08-12 23:13:10.111031,616509,experiment,66,False
2015-08-12 23:28:27.835221,887837,control,64,True
2015-08-13 00:13:36.736963,519868,experiment,24,False
2015-08-13 00:35:17.629153,188440,control,87,False
2015-08-13 04:08:43.394813,518708,experiment,89,False
2015-08-13 04:10:06.226512,247305,experiment,44,False
