.17,        355
.16,        328
.17,        350
.18,        325
.25,        642
.16,        342
.15,        322
.19,        485
.21,        483
.15,        323
.18,        462
.28,        823
.16,        336
.20,        498
.23,        595
.29,        860
.12,        223
.26,        663
.25,        750
.27,        720
.18,        468
.16,        345
.17,        352
.16,        332
.17,        353
.18,        438
.17,        318
.18,        419
.17,        346
.15,        315
.17,        350
.32,        918
.32,        919
.15,        298
.16,        339
.16,        338
.23,        595
.23,        553
.17,        345
.33,        945
.25,        655
.35,       1086
.18,        443
.25,        678
.25,        675
.15,        287
.26,        693
.15,        316
